venue_name,venue_id,city_name,n_events,n_artists,first_event,last_event
Rapid Skateshop,13d1bda5,Simi Valley,6,6,2022-12-15,2022-12-30
Hot Shot Muffler,63d35a5f,Los Angeles,6,6,2020-12-13,2020-12-13
Rock & Brews,73d3be91,Highland,6,5,2021-12-03,2022-12-16
The Side Door,13d25575,Sacramento,6,5,2018-09-08,2022-10-16
Retro Junkie,23d3e41f,Walnut Creek,6,5,2018-10-26,2022-11-25
Studio City Sound,43d0d313,Los Angeles,6,6,2022-12-17,2022-12-17
Center for the Performing Arts,bd631ce,San Jose,6,6,2018-10-30,2020-03-09
Bridgetown DIY,7bd492b8,La Puente,6,6,2018-08-11,2019-09-04
The Jennifer Hudson Show,23d1a833,Los Angeles,6,6,2022-09-13,2022-12-05
The Lodge at The Regency Center,53d77b65,San Francisco,6,6,2018-11-04,2022-09-10
El Rey Theater,13d3a19d,Chico,6,6,2018-09-07,2022-10-07
Private Venue,23d39813,Orange,6,4,2018-09-22,2020-09-18
FTG Warehouse,73d05665,Santa Ana,6,6,2019-09-06,2022-12-15
Vinnie's Bar & Grill,23d3a4ab,Concord,6,6,2018-08-04,2022-12-16
Madame Siam,4bd5bbf6,Los Angeles,6,6,2018-10-12,2022-09-22
Roccapulco,43d593eb,San Francisco,6,4,2018-09-22,2022-11-12
Pantages Theatre,63d62afb,Los Angeles,6,3,2019-09-24,2022-12-17
Westside Pavilion,2bd39cbe,Tuolumne,6,6,2019-09-01,2019-10-12
The Canyon at The Rose - Pasadena,5bd3eb74,Pasadena,6,6,2019-09-21,2020-01-24
Grand Theatre Center for the Arts,23d390c7,Tracy,6,5,2018-09-28,2022-09-23
Whiskey Dick's,3bd49c84,South Lake Tahoe,6,5,2019-12-21,2022-12-29
The Federal Bar,3d7555f,Los Angeles,6,6,2018-08-12,2022-08-26
Raven Theater,23d3a0c7,Healdsburg,6,5,2018-11-16,2022-12-02
Coaxial Arts Foundation,2bd24c12,Los Angeles,6,5,2018-08-10,2022-11-05
Casa Escobar Malibu,bd535c6,Malibu,6,6,2018-12-08,2019-10-26
Nickerson Gardens,43d2ff9b,Los Angeles,6,6,2018-12-19,2018-12-19
Machine Studio,1bd01d3c,San Pedro,6,6,2019-08-21,2019-10-30
HM157,5bd65308,Los Angeles,6,6,2020-01-18,2020-01-18
Soka Performing Arts Center,73d3aa0d,Aliso Viejo,6,6,2019-10-05,2020-02-29
Bob Baker Marionette Theater,2bd2a462,Los Angeles,6,6,2018-11-16,2022-11-20
RAREHOUSE,bd391ce,Los Angeles,6,6,2018-11-30,2020-02-29
Lincoln Theater Napa Valley,73d392ed,Yountville,6,6,2018-11-03,2020-01-17
Permanent Records Roadhouse,5bde37cc,Los Angeles,6,6,2019-12-03,2022-12-14
ABC Studios,3bd60424,Los Angeles,6,6,2022-12-31,2022-12-31
State Theatre,73d39a71,Red Bluff,6,6,2018-08-04,2022-10-28
19 Broadway,6bd7a62e,Fairfax,6,6,2018-08-18,2020-10-10
Oxbow Commons,5bd23b9c,Napa,6,6,2019-08-25,2019-10-26
Marines' Memorial Theatre,43d397ef,San Francisco,6,5,2018-09-27,2022-11-12
State Social House,13d2b14d,West Hollywood,6,4,2018-10-11,2022-09-16
SilverLakes Equestrian and Sports Park,6bd03aee,Norco,6,6,2019-10-20,2020-11-12
Belching Beaver Brewery,53d12b81,Oceanside,6,6,2022-11-12,2022-11-12
Spotlight 29 Casino,7bd5ea58,Coachella,6,6,2018-10-26,2022-09-22
7 Mile House,bd0f17a,Brisbane,6,1,2018-09-01,2020-03-07
Back Bay Amphitheater,bd399ba,Newport Beach,6,6,2019-08-16,2019-10-04
Twilight on the Pier,23d3f073,Santa Monica,6,6,2019-08-21,2019-09-25
Russ and Julie's,bd0f5de,Calabasas,6,6,2019-11-02,2020-03-07
"",73d44a0d,West Hollywood,6,6,2018-11-07,2022-11-03
Popscene,23d63c13,San Francisco,5,5,2018-12-06,2022-09-29
San Diego Convention Center,4bd0c79a,San Diego,5,5,2018-08-21,2022-10-09
Long Beach Convention Center,7bd7a63c,Long Beach,5,5,2019-08-19,2022-11-12
Hotel Zoso,bd015e6,Palm Springs,5,5,2021-12-31,2021-12-31
Michael's on Main,13d2d9c5,Soquel,5,5,2018-12-05,2019-10-19
Sound Room,23d26887,Oakland,5,3,2019-08-23,2022-11-11
The Big Easy,5bd2ffdc,Petaluma,5,2,2018-08-14,2022-12-16
First Congregational Church of Los Angeles,6bd26692,Los Angeles,5,4,2018-12-01,2021-12-11
Club Tee Gee,2bd3f04a,Los Angeles,5,5,2019-08-25,2022-08-28
Outer Space Arcata,73d3aa99,Arcata,5,4,2018-10-07,2019-12-02
Exposition Park,1bd66d1c,Los Angeles,5,5,2022-10-16,2022-10-16
California Institute of Abnormalarts,3d399b3,Los Angeles,5,5,2018-11-24,2018-12-01
La Mirada Theatre for the Performing Arts,63d76eff,La Mirada,5,5,2018-10-12,2020-02-22
Victoria Gardens Cultural Center,53d1bf35,Rancho Cucamonga,5,5,2019-11-01,2022-12-21
La Movida Night Club,2bd2007a,Bakersfield,5,5,2018-10-05,2018-10-05
Caravan Lounge,7bd43614,San Jose,5,3,2018-08-24,2020-03-06
The Abbey Food & Bar,43d0cbd7,West Hollywood,5,4,2018-12-04,2022-12-15
Sutter Creek Theatre,23d7ccfb,Sutter Creek,5,5,2018-10-04,2022-09-30
Santa Cruz Civic Auditorium,1bd38dc8,Santa Cruz,5,5,2019-10-25,2022-10-01
Oak and Main,1bd3d1f8,Ventura,5,5,2019-10-26,2019-12-15
DTS Sound Space at KROQ,63d08eef,Los Angeles,5,5,2022-08-29,2022-11-27
Starry Plough,43d627ab,Berkeley,5,5,2018-08-03,2018-12-07
Warnors Theatre,5bd29b8c,Fresno,5,5,2019-08-18,2019-12-14
Private Venue,bd36512,Berkeley,5,2,2020-04-10,2020-12-18
Gloria Molina Grand Park,4bd1efb2,Los Angeles,5,5,2018-08-31,2022-11-05
Private Venue,53d31b89,Woodside,5,1,2020-03-26,2020-04-06
Moscone Center,3d6c923,San Francisco,5,5,2018-09-14,2022-09-20
Presqu'ile Winery,5bd2b778,Santa Maria,5,4,2018-09-07,2022-09-30
Spreckels Theatre,6bd612c2,San Diego,5,5,2018-10-13,2020-01-18
Soundwave Studios,4bd79b06,Oakland,5,1,2020-05-24,2020-10-31
Camp Mt. Crags,73d2a619,Malibu,5,1,2018-08-11,2019-09-08
The Vine,73d26201,Ojai,5,3,2018-12-12,2022-11-27
Adams Avenue Street Fair,1bd515f8,San Diego,5,4,2019-09-21,2022-09-24
Feinstein's at the Nikko,73d52e49,San Francisco,5,2,2019-12-12,2022-12-18
The Prospector,3bd71424,Long Beach,5,5,2018-09-29,2019-10-29
Helwig Winery,53d5abdd,Plymouth,5,5,2019-08-24,2022-08-27
The Blvd,2bd66462,Los Angeles,5,4,2018-08-12,2019-08-29
Great Star Theater,73d056f5,San Francisco,5,5,2022-10-13,2022-10-15
Highlands Jam Studios,73d1b661,Calabasas,5,5,2022-10-01,2022-11-16
Queen Bees,1bd645e8,San Diego,5,5,2019-10-03,2022-11-19
Museum of Making Music,53d50f55,Carlsbad,5,5,2018-11-02,2020-11-20
SiriusXM Studios,63d31a8b,Los Angeles,5,5,2018-10-01,2022-08-25
Cricket Wireless Lounge,53d26755,Los Angeles,5,5,2018-11-28,2020-02-24
The Grand Star Jazz Club,4bd51f02,Los Angeles,5,5,2018-11-04,2020-03-06
Alpine Village,73d5ee65,Torrance,5,5,2018-08-04,2018-08-04
Silverlake Conservatory of Music,23d4f89b,Los Angeles,5,3,2018-09-29,2022-10-29
World Beat Center,43d62747,San Diego,5,5,2020-02-15,2020-02-16
The Rellik Tavern,3d381a3,Benicia,5,2,2021-12-11,2022-12-22
Olov Hall,6bd2527a,Los Angeles,5,5,2020-01-25,2020-01-25
88.5 FM Studio @ CSUN,5bd20f88,Northridge,5,5,2018-09-12,2019-10-16
Broad Stage,7bd7fea8,Santa Monica,5,5,2018-11-11,2022-12-17
Siren's Song Tavern,13d0e191,Eureka,5,5,2018-09-07,2022-09-18
The Hood,13d73d49,Palm Desert,5,5,2019-11-02,2022-11-26
Private Venue,6bd09eee,Twentynine Palms,5,1,2020-10-23,2020-10-26
Harold's Place,7bd4aefc,San Pedro,5,4,2018-10-14,2021-12-11
No Vacancy,6bd5be12,Los Angeles,5,5,2018-08-23,2022-11-01
First Street Wine Co,3bd20498,Livermore,5,1,2018-09-16,2020-08-30
Sans Souci Cocktail Lounge,2bd5101e,Ventura,5,5,2018-10-05,2022-09-17
Kulak's Woodshed,4bd77726,Los Angeles,5,5,2018-08-10,2020-11-05
Lair of the Golden Bear,33d39449,Pinecrest,5,4,2018-09-07,2018-09-09
Momo Lounge,53d2c345,Sacramento,5,5,2018-10-06,2019-11-19
"",73d60621,Oakland,5,5,2018-12-11,2020-07-10
1-2-3-4 Go! Records,13d7e161,Oakland,5,5,2018-08-31,2018-10-21
Oak Canyon Nature Center,bd3a1ba,Anaheim,5,5,2019-09-07,2019-09-07
The Lab,43d6335b,San Francisco,5,5,2018-11-15,2022-08-26
Monty Bar,13d5c1f1,Los Angeles,5,5,2018-10-13,2022-09-11
Silverado Resort and Spa,1bd399c0,Napa,5,5,2018-10-04,2019-09-28
MacArthur Park,2bd3b8ba,Los Angeles,5,5,2019-12-14,2019-12-14
El Picante,33d04821,Bell Gardens,5,5,2022-11-18,2022-11-18
Starlight Theater,2bd398e2,Pala,5,5,2019-09-07,2022-10-02
Hilton Bayfront Park,1bd3cd0c,San Diego,5,5,2018-12-01,2019-11-23
Ojai Underground Exchange,23d2706b,Ojai,5,5,2018-11-02,2022-11-05
Colonial Theater,43d78bef,Sacramento,5,5,2018-11-03,2020-02-22
Conan,43d7c7df,Burbank,5,5,2018-08-27,2018-10-03
Heart Health Park,7bd0eeb0,Sacramento,5,5,2022-09-20,2022-09-24
Wiens Family Cellars,6bd4062a,Temecula,5,5,2018-08-17,2019-09-06
Carpenter Performing Arts Center,5bd1ff30,Long Beach,5,4,2019-09-21,2022-11-03
Musicians Institute Auditorium,73d4e6f9,Los Angeles,5,3,2018-09-28,2022-09-15
Stay Gold Deli,3bd0c4d4,Oakland,5,5,2022-09-11,2022-12-21
"",63d60633,Berkeley,5,1,2020-08-20,2020-11-13
Little Joy,bd4e1e6,Los Angeles,5,5,2018-08-18,2020-01-16
Boston Court Performing Arts Center,73d20eed,Pasadena,5,1,2018-09-13,2021-12-10
"",73d61e19,San Francisco,5,3,2019-12-05,2021-12-26
Mayfair Hotel,bd38dfa,Los Angeles,4,4,2019-08-29,2019-10-19
Boardner's,1bd79968,Los Angeles,4,4,2019-08-29,2022-10-14
CWK Studio,3bd35460,Los Angeles,4,1,2020-10-10,2020-11-22
Shenanigans,3d20d1b,South Gate,4,4,2018-09-08,2019-12-19
Private Venue,43d22723,San Jose,4,4,2018-08-05,2020-12-26
Mateel Community Center,4bd79356,Redway,4,4,2018-09-03,2022-09-11
The Observatory Grounds,23d5185f,Santa Ana,4,4,2018-09-04,2022-10-15
USS Hornet Museum,7bd3aa14,Alameda,4,4,2019-10-19,2022-10-14
Quarry Park Amphitheater,3bd1fc08,Rocklin,4,4,2018-08-11,2022-09-30
Sweet Springs Saloon,3bd394ec,Los Osos,4,4,2019-10-27,2020-02-16
Pacific Design Center,4bd62f0e,West Hollywood,4,4,2020-02-03,2022-10-27
Booze Brothers Brewing Co.,1bd5c540,Vista,4,3,2018-11-03,2021-12-03
Kensington Club,7bd41a94,San Diego,4,4,2019-10-25,2022-10-13
Citadel Outlets,2bd5048e,Commerce,4,4,2020-08-29,2020-08-29
Vibrato Jazz Club,1bd58128,Los Angeles,4,2,2020-01-15,2022-10-18
That's My Jam,63d0ce2f,Los Angeles,4,4,2021-11-29,2021-11-29
Cache Creek Casino Resort,73d7fea5,Brooks,4,3,2018-09-14,2022-11-05
Honda Stage at the iHeartRadio Theater,63d2529b,Burbank,4,4,2018-11-27,2022-09-09
Newman House,2bd20056,Isla Vista,4,4,2018-10-05,2018-10-05
The Verdi Club,13d79de9,San Francisco,4,3,2018-10-03,2020-02-14
Pizza Beer and Wings,5bd5a7b0,Pomona,4,4,2018-08-04,2018-12-15
Rubidoux Drive-In Theatre,23d3586f,Riverside,4,3,2020-09-26,2020-10-24
Thornton Winery,53d7e3e5,Temecula,4,4,2018-08-11,2022-10-08
Appleton Event Center,53d3b795,Watsonville,4,4,2018-11-11,2018-12-05
Piedmont Piano Company,4bd23366,Oakland,4,4,2018-11-30,2019-12-11
Online Event,23d0ccff,San Francisco,4,2,2020-04-02,2020-08-08
Community Center Theater,bd39122,Sacramento,4,4,2018-08-21,2018-11-13
Bourbon Street Bar,33d328b1,Fullerton,4,4,2020-02-19,2020-03-04
Rendon Hall,7bd3a258,Berkeley,4,4,2018-10-19,2020-01-21
Five Fingers Pub,3bded0b8,Inyokern,4,2,2022-09-04,2022-10-29
Mi Ranchito Bar,63d18e5b,Los Angeles,4,4,2022-10-22,2022-12-03
Aztec Brewing Company,13d22df9,San Diego,4,2,2019-08-24,2020-01-03
Bocci's Cellar,63d3fabb,Santa Cruz,4,3,2018-10-24,2020-02-08
Cloverdale Plaza,7bd2d2c4,Cloverdale,4,4,2018-08-03,2018-08-31
dba256,53d3b7b1,Pomona,4,4,2020-03-09,2021-12-02
Miners Foundry Cultural Center,1bd39904,Nevada City,4,4,2018-09-13,2022-10-13
"",33d7a461,Malibu,4,4,2018-12-02,2021-12-03
"The Garage, Sirius XM Radio",73d33a21,Los Angeles,4,4,2019-09-11,2020-12-18
Golden Gate Park Bandshell,3bd2d474,San Francisco,4,3,2021-12-18,2022-12-07
Hammer Museum,1bd6d134,Los Angeles,4,4,2018-08-08,2022-11-10
Full Circle Olympic,6bd3fa9e,Fresno,4,4,2019-08-17,2020-03-07
Sunset Boulevard,5bd75318,Los Angeles,4,2,2018-11-25,2021-11-28
South Bay Customs,4bd5931e,El Segundo,4,2,2020-11-27,2022-08-28
Grammy Museum,bd061ea,Los Angeles,4,4,2022-09-22,2022-11-02
Carnival Inspiration,4bd0b796,Long Beach,4,4,2020-01-17,2020-01-18
That 80's Bar,2bd4e8ce,Montclair,4,4,2018-12-29,2020-02-28
Foundation Room,13d0fda9,Anaheim,4,4,2018-09-28,2020-01-25
Peri's Bar,33d2a0dd,Fairfax,4,1,2018-12-14,2020-02-21
Sycuan Live and Up Close,4bd7332e,El Cajon,4,4,2020-02-15,2022-09-17
The Bistro,13d5a9b1,Hayward,4,4,2019-09-20,2022-11-16
The Standard,7bd7aaac,West Hollywood,4,4,2018-12-31,2019-10-29
Turlock Community Theatre,2bd390ae,Turlock,4,4,2018-10-28,2022-12-01
EastWest Recording Studios,1bd4a100,Los Angeles,4,2,2020-05-22,2020-06-03
Private Venue,53d36331,Mill Valley,4,3,2020-08-27,2022-10-29
Universal Bar & Grill,43d73727,Los Angeles,4,4,2019-08-16,2020-03-11
The Laugh Factory,bd23d5a,Los Angeles,4,2,2019-08-26,2022-11-19
Red Hat,5bd52bd4,Concord,4,4,2018-10-12,2020-02-15
Buck Owens' Crystal Palace,5bd7e71c,Bakersfield,4,4,2018-09-27,2020-03-05
Stork Club,23d7e8e3,Oakland,4,3,2018-08-16,2020-03-12
Luckman Fine Arts Complex,53d79b0d,Los Angeles,4,4,2018-08-25,2022-11-19
Private Venue,6bd34a6a,Napa,4,3,2018-09-22,2022-10-27
Rock City Studio,33d7cc05,Camarillo,4,4,2018-08-05,2019-09-28
"",3bd67c18,Santa Cruz,4,4,2018-08-10,2020-12-05
Twin Peaks Sessions,3d0e533,San Francisco,4,4,2019-09-27,2020-03-08
Amazon Music Live,23d1b86b,Los Angeles,4,4,2022-10-27,2022-12-29
The Brick,3bd3cc0c,Nevada City,4,3,2019-11-15,2020-02-29
Heritage Theatre,23d67027,Campbell,4,4,2019-11-12,2022-11-06
Ojai Deer Lodge,4bd2bb9e,Ojai,4,3,2018-08-10,2022-11-22
Junior Seau Pier Amphitheatre,2bd3985a,Oceanside,4,4,2018-09-08,2018-09-08
Affliction Studios,6bd2aea6,Seal Beach,4,4,2019-09-10,2022-12-31
Brandin' Iron,53d76b51,San Bernardino,4,4,2018-09-28,2021-12-04
8253 Ronson Rd,1bd1e524,San Diego,4,4,2022-09-11,2022-09-11
Stern Grove,73d782b9,San Francisco,4,4,2018-08-05,2019-08-18
Bender's Bar & Grill,13d77de9,San Francisco,4,4,2019-10-12,2020-02-27
Moe's Music,2bded0ba,Ridgecrest,4,2,2022-09-10,2022-12-10
Dan's Irish Sports Bar,5bd77f44,Walnut Creek,4,3,2018-10-20,2020-02-21
SVN West,3d3f9fb,San Francisco,4,3,2019-08-14,2019-08-15
Downtown Palm Springs,13d3650d,Palm Springs,4,4,2019-10-31,2019-11-02
Streetlight Records,53d4c755,Santa Cruz,4,3,2018-08-24,2020-02-16
The Hangar at the OC Fair,43d3a707,Costa Mesa,4,4,2018-08-08,2020-01-05
Palmdale Amphitheater,2bd398a6,Palmdale,4,4,2018-09-22,2022-09-10
Rio Nido Roadhouse,5bd4a374,Rio Nido,4,3,2018-09-01,2019-10-26
Rainbow Ballroom,1bd6c58c,Fresno,4,4,2018-11-02,2019-11-05
Chukchansi Park,73d6da29,Fresno,4,4,2018-09-15,2022-10-01
Paul Dresher Ensemble Studio,1bd0e53c,Oakland,4,4,2020-03-07,2021-12-10
The Airliner,13d63d89,Los Angeles,4,4,2018-11-09,2022-12-09
Hard Rock Hotel & Casino Sacramento,7bd1fec4,Wheatland,4,4,2022-09-29,2022-11-10
Triforium,3bd274e8,Los Angeles,4,4,2018-10-26,2018-11-02
Dancing with the Stars,3bd46034,Los Angeles,4,3,2018-10-08,2019-11-25
Sofar Sounds,bd44996,Los Angeles,4,4,2018-08-11,2022-09-30
Santa Monica Pier,3bd630d4,Santa Monica,4,4,2018-09-12,2018-09-26
Center Stage,1bd21d30,Lake Arrowhead,4,3,2018-08-10,2019-08-16
Armando's,53d70b35,Martinez,4,3,2018-08-18,2019-11-14
A Satellite of Love,43d2535b,San Luis Obispo,4,4,2020-02-27,2021-11-30
The Westin Bonaventure Hotel and Suites,bd7259e,Los Angeles,4,4,2022-11-08,2022-11-08
Champion Site + Sound,53d033ed,Los Angeles,4,3,2022-11-05,2022-12-10
Warner Grand Theatre,2bd394d6,San Pedro,4,4,2018-11-04,2022-10-01
Poor House Bistro,6bd516ca,San Jose,4,4,2018-12-16,2019-08-16
A.C. Dysart Equestrian Center,63d20eff,Banning,4,4,2018-09-15,2018-09-16
Rodney Strong Vineyards,7bd39234,Healdsburg,4,4,2018-10-31,2022-09-10
KALX-FM,53d2975d,Berkeley,4,3,2018-09-26,2022-12-17
Love Field,73d55295,Point Reyes Station,4,4,2018-08-04,2019-10-12
Little Saint,bd0798e,Healdsburg,4,4,2022-09-06,2022-11-15
TAIX,bd7ddbe,Los Angeles,4,4,2018-08-17,2020-03-12
Hueneme Beach Park,43d06b5f,Port Hueneme,4,4,2022-08-27,2022-08-28
Sunspace,5bd38738,Shadow Hills,4,4,2018-12-08,2020-02-02
Spectrum Amphitheatre,73d23a21,Bakersfield,4,4,2018-08-18,2022-09-17
Big Bear Mountain Resorts,3d3a50b,Big Bear Lake,4,4,2019-09-28,2020-02-22
Oakland Secret,5bd243dc,Oakland,4,2,2019-08-26,2022-11-05
The Will Geer Theatricum Botanicum,1bd64174,Topanga,4,3,2018-11-04,2019-11-02
Private Venue,3bd13c88,Los Angeles,4,4,2019-09-27,2020-06-18
The Painted Turtle,6bd182be,Lake Hughes,4,4,2019-09-14,2019-09-14
Almost Famous Wine Company,1bd03d54,Livermore,4,4,2022-08-26,2022-11-11
Yolo County Fairgrounds,2bd52cd6,Woodland,4,4,2019-08-31,2019-08-31
3F Gallery,13d38965,San Jose,4,4,2019-09-06,2020-02-05
Gerstle Park Neighborhood,53d3ebb9,San Rafael,4,3,2019-09-22,2022-09-18
The Well,43d3c75b,Bakersfield,4,4,2019-12-07,2020-02-20
Fox Theatre,3d6310b,Redwood City,4,4,2018-09-11,2019-09-12
Blonde Bar,63d286d7,San Diego,4,4,2018-11-26,2020-03-05
Hermosa Beach,13d415b1,Hermosa Beach,4,4,2019-08-17,2020-05-01
Sierra Nevada Brewing Co.,43d3a30b,Chico,4,4,2018-08-05,2020-03-02
The Marcus Singletary Show,3bd33860,Los Angeles,4,1,2019-12-02,2019-12-30
Santa Barbara Polo & Racquet Club,bd3052a,Carpinteria,4,4,2018-09-08,2018-09-08
University of California Botanical Garden at Berkeley,53d3a3f9,Berkeley,3,3,2018-08-16,2018-08-25
USC McCarthy Quad,73d5caad,Los Angeles,3,3,2019-11-01,2022-10-23
Veterans Field,4bd20f32,Galt,3,3,2018-09-15,2018-09-15
Moose Lodge,33d2884d,Oceanside,3,2,2018-08-31,2019-12-20
Muckenthaler Cultural Center,73d23aa1,Fullerton,3,3,2018-10-25,2020-10-08
HEAV3N,43d34be7,Los Angeles,3,1,2020-05-09,2021-12-31
"",5bd4e754,Compton,3,3,2018-08-24,2018-08-24
Lost on Main,2bd6406a,Chico,3,3,2018-11-07,2019-10-22
Yellow Door House Concert,bd0310e,Santa Ana,3,3,2022-09-05,2022-10-21
Skyloft,33d39c01,Laguna Beach,3,3,2018-10-21,2022-12-16
Bricks Rock Bar,6bd0d6fa,Maywood,3,3,2022-09-16,2022-09-17
Wilshire Ebell Theatre,13d66d61,Los Angeles,3,2,2018-11-15,2022-10-28
Ramona Garden Park,5bd303f0,Grover Beach,3,3,2018-08-25,2022-08-27
L.A. Forum,23d17853,Inglewood,3,1,2019-11-22,2019-12-07
Crybaby,53d037c5,Oakland,3,3,2022-08-24,2022-11-01
Old Western Saloon,13d7e979,Point Reyes Station,3,3,2019-08-16,2019-08-16
Cobb's Comedy Club,43d65727,San Francisco,3,3,2018-11-11,2022-10-08
The Slipper Clutch,73d05a85,Los Angeles,3,3,2019-09-05,2022-10-22
Strawberry Meadows of College Park,3bd398e8,Oxnard,3,3,2021-12-22,2021-12-22
BarrelHouse Brewing Co.,bd3b9d6,Paso Robles,3,2,2019-10-03,2022-10-28
Lumbar Yard,63d302eb,Mill Valley,3,1,2020-03-03,2020-11-07
The Post at Rockwells,5bd3dbec,City of Villa Park,3,1,2019-10-24,2019-12-26
Collective 47,33d35c39,Apple Valley,3,3,2020-01-23,2022-12-08
Los Angeles Theatre,23d33c4b,Los Angeles,3,3,2019-11-23,2019-12-31
Private Venue,23d308cb,Santa Margarita,3,1,2020-04-08,2020-05-30
Cal Coast Credit Union Amphitheater,5bd07be4,San Diego,3,3,2019-11-17,2022-09-15
Auburn State Theatre,1bd181e0,Auburn,3,3,2019-12-20,2022-10-28
Liberty Stage,33d2ac65,Los Angeles,3,3,2018-08-17,2019-08-17
The Grange Hall,6bd34e16,Los Olivos,3,3,2019-10-25,2019-10-25
Monk Space,23d2ac6b,Los Angeles,3,3,2019-11-16,2019-11-16
Arcata Playhouse,7bd44a04,Arcata,3,3,2019-11-04,2022-10-23
Michael David Winery,63d0e683,Lodi,3,1,2019-09-20,2019-11-03
The Fruit Yard Amphitheater,73d3a645,Modesto,3,3,2018-08-24,2019-10-06
"",6bd29a6a,Lancaster,3,3,2018-10-24,2019-10-08
The Whiskey Barrel,5bd02fa8,Hesperia,3,3,2019-12-12,2022-11-19
America's Got Talent,3bd5d0b4,Los Angeles,3,3,2018-09-19,2020-09-23
Moss Theater,43d2df43,Santa Monica,3,3,2018-11-24,2020-03-22
Quechan Casino Resort,6bd73a96,Winterhaven,3,3,2019-08-30,2019-12-21
Copper Blues,7bd3e204,Brea,3,2,2019-10-04,2022-10-01
Palm Springs Cultural Center,43d263cb,Palm Springs,3,1,2018-11-16,2018-11-18
Foothill College Appreciation Hall,73d182b5,Los Altos Hills,3,3,2019-10-26,2019-10-26
The Shops on the Lake,bd205e6,Pasadena,3,3,2018-09-29,2019-09-28
Buckingham Palace,53d5c71d,Los Angeles,3,3,2018-11-03,2020-09-11
Presidio Officer's Club,73d22ec5,San Francisco,3,1,2018-10-25,2018-10-27
"",7bd7a27c,Anaheim,3,3,2018-08-25,2020-09-25
Brouwerij West,2bd22cfe,San Pedro,3,3,2018-09-15,2019-10-26
Midnight Jack Brewing Company,33d204ed,Oceanside,3,3,2018-09-28,2018-09-28
Boulevard Music,23d21cef,Los Angeles,3,3,2018-12-01,2022-11-19
The Rock Yard,2bd780aa,Indio,3,2,2018-09-22,2020-12-05
Gallagher Square,5bd023b0,San Diego,3,3,2022-08-25,2022-09-25
Haight Street Art Center,4bd27b2e,San Francisco,3,3,2018-10-06,2018-10-06
San Jose Jazz Summer Fest Stages,5bd22300,San Jose,3,3,2018-08-10,2018-08-12
Rubycon Records & Tapes,3bd1bc34,Los Angeles,3,3,2022-08-26,2022-12-17
Topa Topa Brewing Company,63d2bacb,Santa Barbara,3,1,2018-08-12,2018-11-18
Sausalito Cruising Club,2bd2a0d2,Sausalito,3,3,2018-09-29,2022-12-30
Beach Park,bd3f10e,San Rafael,3,1,2019-09-02,2020-11-07
Murphys Irish Pub,3bd0d4c8,Murphys,3,2,2021-12-09,2022-11-12
Sonoma-Marin Fairgrounds,7bd2b62c,Petaluma,3,3,2018-08-04,2022-10-01
Studio 606,5bd60fdc,Los Angeles,3,1,2019-10-25,2020-11-21
Riff Mountain,53d3b3e1,Fullerton,3,3,2018-08-25,2018-10-19
Red Poppy Arthouse,63d4665b,San Francisco,3,2,2018-11-10,2019-08-24
Totally 80's Bar & Grille,3d441d3,Fullerton,3,3,2018-12-01,2019-12-21
Tachi Palace,3bd6580c,Lemoore,3,3,2018-09-06,2019-10-04
Dildo Factory,3d2318b,Berkeley,3,3,2018-08-04,2019-09-18
B Ryders Bar,bd21d32,Bakersfield,3,3,2018-09-14,2018-12-06
June Lake Jam Fest,33d068b5,June Lake,3,3,2022-09-10,2022-09-11
GiGi's Cocktail Lounge,3bd1f834,Ventura,3,3,2022-09-08,2022-10-11
Twin Oaks Roadhouse,23d2a453,Penngrove,3,3,2020-02-29,2022-08-28
Giggles Night Club,33d44421,Glendale,3,3,2022-09-30,2022-11-06
American Barbershop,7bd3c618,Los Angeles,3,2,2019-08-15,2020-09-26
Metallica HQ,6bd18286,San Rafael,3,1,2020-08-12,2020-11-14
CBR House,3d3117f,Los Angeles,3,3,2020-01-23,2020-03-07
Quartyard,2bd59cea,San Diego,3,3,2019-10-25,2021-12-10
Luckyduck Bicycle Cafe,53d04321,Oakland,3,3,2022-12-10,2022-12-10
Simple Pleasures Cafe,7bd22684,San Francisco,3,3,2018-11-30,2020-03-02
The Pad,2bd04cc2,Perris,3,3,2022-11-12,2022-11-12
South Pasadena Masonic Lodge,23d270bf,South Pasadena,3,3,2018-11-03,2021-12-04
Mi California,53d06b9d,Hawthorne,3,3,2022-09-03,2022-12-10
Chewing Foil,3d03dcb,Los Angeles,3,3,2019-09-19,2020-01-04
South Coast Winery,bd4758e,Temecula,3,3,2022-09-01,2022-10-06
Spin,13d63d0d,San Diego,3,3,2019-12-30,2022-10-22
West Hollywood Park,4bd7535a,West Hollywood,3,3,2020-02-09,2022-12-08
KXLU,5bd4ff14,Los Angeles,3,3,2019-10-31,2020-06-20
Village Recording Studios,3bd638a4,Los Angeles,3,3,2020-02-24,2022-09-25
La Maison Kabob,1bd3ad74,Fresno,3,3,2019-09-24,2020-01-14
Vacaville Performing Arts Theatre,3bd67020,Vacaville,3,3,2020-02-21,2022-11-04
Delucia Bar,7bd3cae8,Paramount,3,2,2019-10-31,2020-02-28
Halcyon,3d3b59f,San Francisco,3,3,2019-11-02,2020-01-01
Samala Showroom at Chumash Casino,63d2cad3,Santa Ynez,3,2,2019-09-13,2020-02-29
The Alibi,43d3f34b,Palm Springs,3,3,2020-02-27,2022-10-28
